"","color","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1507","red",6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6
"6020","white",6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
"3642","white",5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6
"5415","white",6.3,0.43,0.32,8.8,0.042,18,106,0.99172,3.28,0.33,12.9,7
"5276","white",5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7
"1798","white",7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
"304","red",7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5
"1445","red",7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,6
"4321","white",8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,5
"6155","white",6.8,0.45,0.3,11.8,0.094,23,97,0.997,3.09,0.44,9.6,5
"4398","white",6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4,7
"4978","white",6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8
"6416","white",6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6
"6304","white",6.3,0.36,0.5,8.3,0.053,51,202,0.9955,3.2,0.51,9.6,6
"66","red",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
"6108","white",5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4
"2071","white",6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,5
"2744","white",7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5
"862","red",5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6
"118","red",7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6
"4207","white",8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,6
"5860","white",6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
"4582","white",7,0.2,0.31,8,0.05,29,213,0.99596,3.28,0.57,10.4,6
"1172","red",7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
"1538","red",5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6
"5355","white",7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,6
"2470","white",6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5
"1489","red",5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
"442","red",11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6
"399","red",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
"800","red",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
"150","red",8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6
"2506","white",8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,4
"5497","white",7,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,6
"4593","white",6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
"2170","white",7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
"520","red",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
"238","red",7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6
"4940","white",6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6
"6357","white",6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7
"937","red",8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6
"255","red",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
"3612","white",6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,5
"5673","white",6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5,5
"5558","white",5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
"6266","white",6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5
"5614","white",6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
"3257","white",7.8,0.4,0.49,7.8,0.06,34,162,0.9966,3.26,0.58,11.3,6
"2133","white",7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
"3912","white",9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
"2535","white",6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5
"893","red",10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6
"505","red",10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,7
"3508","white",7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
"1662","white",7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5
"5159","white",7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4
"3471","white",7,0.21,0.22,5.1,0.048,38,168,0.9945,3.34,0.49,10.4,6
"3023","white",9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,4
"4228","white",7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6
"587","red",11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7
"4143","white",6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
"2346","white",7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6
"1565","red",7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
"1901","white",8.3,0.2,0.35,0.9,0.05,12,74,0.992,3.13,0.38,10.5,6
"3559","white",8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
"3057","white",8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6
"3035","white",6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5
"5951","white",6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,6
"2990","white",5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6
"4312","white",6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,5
"5941","white",7.4,0.27,0.52,15.7,0.054,36,139,0.99788,3.04,0.62,10.0333333333333,6
"1742","white",7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6
"6021","white",6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
"1991","white",6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5
"5563","white",6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,7
"1064","red",10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6
"2980","white",6.9,0.38,0.32,8.5,0.044,36,152,0.9932,3.38,0.35,12,7
"4142","white",8.9,0.27,0.34,10.7,0.029,19.5,166,0.99669,3.13,0.48,10.6,5
"219","red",7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5
"2765","white",6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5
"951","red",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
"2913","white",9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,5
"3927","white",7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
"6067","white",6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3,5
"639","red",7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
"6420","white",5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5
"3520","white",8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,7
"4889","white",6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5
"3041","white",7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5
"5585","white",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
"6135","white",7.3,0.26,0.53,12.7,0.047,60.5,156,0.9984,3.06,0.45,9.1,6
"4375","white",7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
"5492","white",6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5
"3549","white",6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,5
"1929","white",7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5
"6328","white",7.2,0.21,0.31,10.5,0.035,36,122,0.99478,3.12,0.4,10.6,6
"1857","white",6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
"5719","white",6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12,7
"266","red",11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
"6438","white",5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6
"4310","white",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
"6219","white",6.4,0.62,0.12,4.7,0.06,33,196,0.99556,3.22,0.48,8.9,5
"3177","white",7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6,4
"4698","white",5.1,0.33,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11,7
"5762","white",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
"6249","white",5.7,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
"4839","white",6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7
"5186","white",5.8,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7
"5939","white",6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,8
"4244","white",7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
"5733","white",5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8,6
"4815","white",7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,6
"3072","white",7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,5
"1580","red",6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
"2267","white",7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
"55","red",7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
"1488","red",6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5
"671","red",6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5
"3856","white",7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5
"1292","red",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6
"1354","red",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
"104","red",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
"2070","white",8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,6
"1700","white",7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
"5761","white",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
"2634","white",7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3
"4352","white",7.1,0.43,0.3,6.6,0.025,15,138,0.99126,3.18,0.46,12.6,6
"5671","white",7.6,0.26,0.32,1.3,0.048,23,76,0.9903,2.96,0.46,12,6
"1309","red",9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5
"2904","white",8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,5
"3814","white",7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5
"3543","white",6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,5
"1743","white",8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6
"1424","red",6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4
"6190","white",6.4,0.33,0.3,7.2,0.041,42,168,0.99331,3.22,0.49,11.1,6
"620","red",11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5
"5534","white",7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,6
"1469","red",7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
"4858","white",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
"2968","white",7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6
"2571","white",6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,7
"5175","white",6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11,7
"3363","white",7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,6
"3087","white",6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8,6
"92","red",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
"4039","white",7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6
"2013","white",7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
"3356","white",6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
"5991","white",7.3,0.22,0.37,15.5,0.048,70,203,0.99899,3.25,0.77,9.4,5
"254","red",7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5
"1790","white",6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6
"6284","white",6,0.24,0.34,1,0.036,52,184,0.99097,3.44,0.44,11.45,6
"3021","white",6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,6
"2750","white",6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,5
"2746","white",9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,5
"1169","red",6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6
"5929","white",6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,5
"912","red",9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6
"4884","white",8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,6
"5099","white",6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,7
"1380","red",7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6
"1984","white",6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7
"1655","white",6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6
"3269","white",7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6
"1273","red",5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5
"4091","white",6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,5
"1736","white",8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6
"2559","white",7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
"5238","white",6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5,7
"2723","white",9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5
"1590","red",6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5
"5356","white",5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5
"1376","red",7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9,5
"1167","red",9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5
"137","red",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
"2907","white",9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5
"1856","white",6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
"1181","red",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
"4176","white",6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,5
"1758","white",5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8
"1377","red",8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,5
"3062","white",7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
"1408","red",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
"5130","white",7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5
"2387","white",7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
"3911","white",7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,7
"5942","white",5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,6
"4852","white",7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,8
"666","red",9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5
"1433","red",5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6
"1353","red",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
"4324","white",7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
"3721","white",7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
"1737","white",7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
"2760","white",7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6
"5592","white",6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,7
"336","red",11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7
"4139","white",6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5
"5166","white",7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6
"4684","white",6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6
"215","red",7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6
"4020","white",8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7
"5994","white",6.3,0.2,0.26,12.7,0.046,60,143,0.99526,3.26,0.35,10.8,6
"2244","white",6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,5
"6039","white",7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5
"3061","white",6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,6
"5798","white",7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,5
"3740","white",7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
"2188","white",6.9,0.28,0.27,2.1,0.036,42,121,0.9926,3.42,0.49,10.8,7
"546","red",9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5
"1129","red",10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5
"682","red",8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,6
"2285","white",6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,5
"58","red",7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5
"491","red",9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
"1860","white",6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6
"3641","white",5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
"4365","white",6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,6
